Page: 1

Table: Table_1
Location ,N ,GHSI Score ,GHSI Rank ,d* ,x2 ,p- value ,K-S Statistic ,Cut-off ,Difference ,LDI ,LD2 ,LD3 ,LD4 ,LD5 ,LD6 ,LD7 ,LD8 ,LD9 ,
Poland ,538 ,55.4 ,32 ,0.09395 ,17.92717 ,0.00013 ,0.11919 ,0.05863 ,2.03278 ,0.35502 ,0.23792 ,0.12825 ,0.06506 ,0.06320 ,0.05019 ,0.04461 ,0.02230 ,0.03346 ,
Portugal ,593 ,60.3 ,20 ,0.09057 ,16.79380 ,0.00023 ,0.09783 ,0.05585 ,1.75173 ,0.37774 ,0.18044 ,0.14165 ,0.06239 ,0.04722 ,0.06745 ,0.04047 ,0.04384 ,0.03879 ,
Qatar ,494 ,41.2 ,82 ,0.13908 ,92.68630 ,0.00000 ,0.14508 ,0.06119 ,2.37095 ,0.24696 ,0.23887 ,0.14777 ,0.18219 ,0.10729 ,0.03036 ,0.01619 ,0.01619 ,0.01417 ,
Romania ,569 ,45.8 ,60 ,0.09861 ,24.02083 ,0.00001 ,0.12350 ,0.05701 ,2.16605 ,0.36731 ,0.21968 ,0.13708 ,0.09842 ,0.03339 ,0.04394 ,0.02460 ,0.04394 ,0.03163 ,
Russia ,570 ,44.3 ,63 ,0.04844 ,2.42940 ,0.29680 ,0.05339 ,0.05696 ,0.93719 ,0.29123 ,0.17544 ,0.11228 ,0.06667 ,0.10526 ,0.08596 ,0.04737 ,0.06140 ,0.05439 ,
Rwanda ,375 ,34.2 ,117 ,0.05565 ,7.19213 ,0.02743 ,0.05667 ,0.07023 ,0.80687 ,0.33333 ,0.15733 ,0.14400 ,0.11467 ,0.08533 ,0.04800 ,0.06133 ,0.03200 ,0.02400 ,
San Marino ,112 ,31.1 ,139 ,0.19726 ,17.81227 ,0.00014 ,0.20157 ,0.12851 ,1.56855 ,0.48214 ,0.19643 ,0.07143 ,0.04464 ,0.06250 ,0.07143 ,0.03571 ,0.00893 ,0.02679 ,
Sao Tome and ,101 ,31.1 ,139 ,0.21072 ,27.79948 ,0.00000 ,0.20988 ,0.13533 ,1.55094 ,0.49505 ,0.18812 ,0.12871 ,0.06931 ,0.07921 ,0.00000 ,0.00990 ,0.01980 ,0.00990 ,

Saudi Arabia ,583 ,49.3 ,47 ,0.10518 ,23.16571 ,0.00001 ,0.08935 ,0.05633 ,1.58632 ,0.24871 ,0.13894 ,0.18868 ,0.13551 ,0.11321 ,0.07204 ,0.03431 ,0.03087 ,0.03774 ,
Senegal ,522 ,37.9 ,95 ,0.16443 ,62.42164 ,0.00000 ,0.13195 ,0.05953 ,2.21670 ,0.43295 ,0.10728 ,0.08238 ,0.07663 ,0.04598 ,0.04598 ,0.04406 ,0.06705 ,0.09770 ,
Sierra Leone ,205 ,38.2 ,92 ,0.16177 ,20.76978 ,0.00003 ,0.17666 ,0.09499 ,1.85983 ,0.44390 ,0.20976 ,0.11220 ,0.03415 ,0.04878 ,0.03902 ,0.04390 ,0.02927 ,0.03902 ,
Singapore ,259 ,58.7 ,24 ,0.05282 ,3.24704 ,0.19720 ,0.03459 ,0.0845 ,0.40933 ,0.26641 ,0.17761 ,0.15444 ,0.12355 ,0.07722 ,0.06950 ,0.05405 ,0.04247 ,0.03475 ,
Slovakia ,385 ,47.9 ,52 ,0.09150 ,9.75680 ,0.00761 ,0.10222 ,0.06931 ,1.47479 ,0.32727 ,0.25195 ,0.10130 ,0.10909 ,0.05455 ,0.04156 ,0.04675 ,0.03896 ,0.02857 ,
Slovenia ,443 ,67.2 ,12 ,0.10697 ,20.48284 ,0.00004 ,0.09855 ,0.06462 ,1.52515 ,0.39955 ,0.14673 ,0.12190 ,0.06546 ,0.07223 ,0.04289 ,0.04966 ,0.05192 ,0.04966 ,
Somalia ,155 ,16.6 ,194 ,0.05211 ,1.73398 ,0.42022 ,0.03648 ,0.10924 ,0.33399 ,0.26452 ,0.20000 ,0.14194 ,0.09032 ,0.09677 ,0.07742 ,0.04516 ,0.04516 ,0.03871 ,
South Africa ,564 ,54.8 ,34 ,0.05868 ,4.11495 ,0.12778 ,0.06821 ,0.05727 ,1.19115 ,0.33156 ,0.20035 ,0.13830 ,0.09574 ,0.04255 ,0.04610 ,0.04610 ,0.0585 ,0.04078 ,
South Korea ,577 ,70.2 ,9 ,0.09200 ,18.38158 ,0.00010 ,0.07855 ,0.05662 ,1.38737 ,0.37955 ,0.13172 ,0.10572 ,0.07972 ,0.08666 ,0.07452 ,0.04506 ,0.05199 ,0.04506 ,
South Sudan ,128 ,21.7 ,180 ,0.08677 ,3.81662 ,0.14833 ,0.06619 ,0.12021 ,0.55061 ,0.36719 ,0.15625 ,0.14063 ,0.06250 ,0.10938 ,0.04688 ,0.03906 ,0.03906 ,0.03906 ,
Spain ,353 ,65.9 ,15 ,0.08566 ,9.33411 ,0.00940 ,0.07437 ,0.07239 ,1.02743 ,0.22663 ,0.18414 ,0.14731 ,0.10765 ,0.09348 ,0.05666 ,0.06516 ,0.08499 ,0.03399 ,
Sri Lanka ,410 ,33.9 ,120 ,0.19927 ,67.27079 ,0.00000 ,0.21080 ,0.06717 ,3.13858 ,0.48537 ,0.20244 ,0.06829 ,0.05122 ,0.04878 ,0.05122 ,0.02683 ,0.03415 ,0.03171 ,
Sudan ,340 ,26.2 ,163 ,0.06730 ,6.96931 ,0.03066 ,0.06371 ,0.07376 ,0.86373 ,0.36471 ,0.16765 ,0.12647 ,0.07647 ,0.07647 ,0.05882 ,0.05294 ,0.04118 ,0.03529 ,
Swaziland ,216 ,36.5 ,100 ,0.07923 ,4.85263 ,0.08836 ,0.05100 ,0.09254 ,0.55114 ,0.25000 ,0.20833 ,0.17130 ,0.08796 ,0.08333 ,0.08333 ,0.05093 ,0.03241 ,0.03241 ,
Sweden ,474 ,72.1 ,7 ,0.08977 ,26.72636 ,0.00000 ,0.09657 ,0.06247 ,1.54587 ,0.24262 ,0.16245 ,0.13924 ,0.09072 ,0.04641 ,0.07595 ,0.10970 ,0.08228 ,0.05063 ,
Switzerland ,570 ,67 ,13 ,0.04726 ,0.83152 ,0.65984 ,0.04937 ,0.05696 ,0.86666 ,0.28421 ,0.15263 ,0.11579 ,0.11053 ,0.10526 ,0.08596 ,0.06491 ,0.03684 ,0.04386 ,
Syria ,187 ,19.9 ,188 ,0.10200 ,2.30271 ,0.31621 ,0.09244 ,0.09945 ,0.92952 ,0.32620 ,0.17647 ,0.18182 ,0.10695 ,0.03209 ,0.11230 ,0.03743 ,0.02139 ,0.00535 ,
Taiwan ,364 ,- ,- ,0.23204 ,85.19144 ,0.00000 ,0.22630 ,0.07128 ,3.17461 ,0.52198 ,0.18132 ,0.07967 ,0.04670 ,0.03571 ,0.03571 ,0.02198 ,0.04121 ,0.03571 ,
